"NAME","GEO_ID","P043001","P043002","P043003","P043004","P043005","P043006","P043007","P043008","P043009","P043010","P043011","P043012","P043013","P043014","P043015","P043016","P043017","P043018","P043019","P043020","P043021","P043022","P043023","P043024","P043025","P043026","P043027","P043028","P043029","P043030","P043031","P043032","P043033","P043034","P043035","P043036","P043037","P043038","P043039","P043040","P043041","P043042","P043043","P043044","P043045","P043046","P043047","P043048","P043049","P043050","P043051","P043052","P043053","P043054","P043055","P043056","P043057","P043058","P043059","P043060","P043061","P043062","P043063"
"Block Group 1, Census Tract 8035.14, Prince George's County, Maryland","1500000US240338035141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8035.14, Prince George's County, Maryland","1500000US240338035142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8035.16, Prince George's County, Maryland","1500000US240338035161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8012.16, Prince George's County, Maryland","1500000US240338012161","6","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","0","5"
"Block Group 2, Census Tract 8012.16, Prince George's County, Maryland","1500000US240338012162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 8012.16, Prince George's County, Maryland","1500000US240338012163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8012.17, Prince George's County, Maryland","1500000US240338012171","11","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","2","0","0","2","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","2","6","0","0","0","0","0","6","0","0","6"
"Block Group 2, Census Tract 8012.17, Prince George's County, Maryland","1500000US240338012172","439","205","0","0","0","0","0","0","0","0","0","0","114","114","0","0","114","0","0","0","0","0","91","91","0","0","91","0","0","0","0","0","234","0","0","0","0","0","0","0","0","0","0","60","60","0","0","60","0","0","0","0","0","174","173","0","0","173","0","1","0","0","1"
"Block Group 2, Census Tract 8013.05, Prince George's County, Maryland","1500000US240338013052","9","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","7","0","0","0","0","0","7","0","0","7"
"Block Group 1, Census Tract 8013.02, Prince George's County, Maryland","1500000US240338013021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.02, Prince George's County, Maryland","1500000US240338013022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.05, Prince George's County, Maryland","1500000US240338013051","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","4","3","0","0","3","0","1","0","0","1"
"Block Group 3, Census Tract 8013.05, Prince George's County, Maryland","1500000US240338013053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.07, Prince George's County, Maryland","1500000US240338013071","10","4","0","0","0","0","0","0","0","0","0","0","4","1","0","0","1","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","2","4","2","0","0","2","0","2","0","0","2"
"Block Group 2, Census Tract 8013.07, Prince George's County, Maryland","1500000US240338013072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.08, Prince George's County, Maryland","1500000US240338013081","10","7","6","6","0","6","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.08, Prince George's County, Maryland","1500000US240338013082","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1"
"Block Group 1, Census Tract 8013.09, Prince George's County, Maryland","1500000US240338013091","6","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","2","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","3"
"Block Group 2, Census Tract 8013.09, Prince George's County, Maryland","1500000US240338013092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.10, Prince George's County, Maryland","1500000US240338013101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.10, Prince George's County, Maryland","1500000US240338013102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.11, Prince George's County, Maryland","1500000US240338013111","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.11, Prince George's County, Maryland","1500000US240338013112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 8013.11, Prince George's County, Maryland","1500000US240338013113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8013.12, Prince George's County, Maryland","1500000US240338013121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.12, Prince George's County, Maryland","1500000US240338013122","138","38","0","0","0","0","0","0","0","0","0","0","16","14","0","0","14","0","2","0","0","2","22","22","0","0","22","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","9","9","0","0","9","0","0","0","0","0","91","91","0","0","91","0","0","0","0","0"
"Block Group 1, Census Tract 8013.13, Prince George's County, Maryland","1500000US240338013131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8013.13, Prince George's County, Maryland","1500000US240338013132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8014.04, Prince George's County, Maryland","1500000US240338014041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8014.04, Prince George's County, Maryland","1500000US240338014042","12","11","4","4","0","4","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","3","4","0","0","0","0","0","4","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1"
"Block Group 3, Census Tract 8014.04, Prince George's County, Maryland","1500000US240338014043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8014.05, Prince George's County, Maryland","1500000US240338014051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
